,lat,lon,Elevation,co_ppb,no2_ppb,o3_ppb,pm10_ug/m3,pm25_ug/m3,so2_ppb,AQI-IN_IN-AQI,aqi_US-AQI,t_C,p_mb,dew_C,h_%,w_km/h,wd_
0,29.5364,75.0158,200.0,1122,4,56,71,42,27,71,117,37,983,2,11,6,160
1,30.233011,74.907758,207.0,437,13,34,65,65,10,118,156,36,983,4,13,4,108
2,31.6199803,74.8764849,233.0,489,5,31,85,51,5,85,139,34,980,16,35,9,360
3,23.5204443,87.3119227,109.0,878,31,2,166,84,6,181,166,32,995,19,47,7,194
4,26.1445,91.7362,50.0,606,2,8,213,213,13,372,263,32,1001,19,47,7,265
5,26.9005959,75.8252787,452.0,448,20,22,86,48,7,86,132,35,957,9,21,11,176
6,25.596727,85.085624,60.0,971,8,66,180,66,4,154,156,34,1000,20,45,8,276
7,26.203442,78.193251,210.0,1153,6,27,25,7,2,27,29,34,983,19,41,0,180
8,12.951913,77.539784,850.0,1,5,14,52,52,3,87,142,33,916,14,32,4,108
9,16.9872867,81.7363176,18.0,891,7,21,56,31,3,56,91,34,1007,19,40,13,149
10,13.328028,75.797056,1040.0,192,5,12,12,3,45,12,13,28,896,19,57,8,280
11,17.457121,78.443493,553.0,537,38,8,76,36,2,76,102,33,947,18,42,18,133
12,19.9756764,79.2422956,188.0,564,7,34,182,54,6,154,147,32,986,19,46,4,134
13,18.529603,73.849586,560.0,2894,13,3,75,38,26,75,107,36,945,14,27,6,277
14,24.5876534,73.6974682,588.0,979,74,14,128,56,4,118,151,34,942,9,21,10,157
15,21.152875,79.0517531,312.0,594,18,25,37,15,1,37,57,31,973,22,60,6,173
16,15.351773,75.140726,639.0,384,11,4,110,39,1,107,110,29,936,20,57,19,238
17,23.7176342,92.7192841,1100.0,349,1,0,84,38,1,84,107,25,917,12,42,8,313
18,13.428828,77.731418,913.0,0,3,13,53,22,4,53,72,31,909,13,32,17,105
19,22.611968,88.347422,7.0,17,10,12,136,72,2,141,160,33,1007,20,48,2,226
20,23.168606,79.932247,404.0,559,5,39,51,24,3,51,76,33,963,13,31,4,177
21,23.8640158,78.80289321,525.0,1048,10,45,64,8,4,64,55,25,949,19,66,7,142
22,28.4501285,77.0263051,225.0,3091,2,18,185,122,10,301,185,36,981,4,13,1,97
23,24.7955,84.9994,116.0,9,1,41,90,30,8,90,89,34,994,13,29,8,293
24,23.221714,72.654328,84.0,408,5,31,64,32,1,64,93,36,996,12,24,15,195
25,16.7602,77.1428,381.0,341,2,10,71,15,9,71,58,36,965,14,28,9,138
26,12.99711389,80.19151667,14.0,1130,30,2,71,34,2,71,97,32,1008,26,72,19,93
27,21.8004996,83.8396977,211.0,1454,7,10,41,18,6,41,63,29,985,18,51,6,184
28,19.840204,75.244935,530.0,0,23,37,70,42,0,70,117,33,948,25,62,9,170
29,22.5367507,88.3638022,9.0,276,9,46,87,51,6,87,139,33,1007,20,48,2,235
30,29.0272,77.0669191,218.0,297,16,19,121,29,9,114,87,35,981,3,13,2,284
31,8.8787,76.6073,18.0,707,3,17,56,34,0,57,97,30,1006,25,75,8,297
32,22.584952,88.359079,12.0,278,43,33,154,77,4,155,162,33,1007,20,48,2,226
33,26.4703088,80.3251749,134.0,1022,15,52,24,16,3,52,59,36,991,17,32,4,252
34,23.7082799,86.4127228,186.0,528,17,0,157,40,7,138,112,34,986,12,27,7,196
35,26.0762,85.4115,56.0,513,13,14,199,115,3,282,182,32,1000,17,42,2,263
36,26.6922399,88.4158141,119.0,450,11,23,70,37,4,70,105,32,993,16,37,4,274
37,27.19865833,78.00598056,175.0,664,15,23,40,12,3,40,50,36,986,8,17,3,212
38,28.52123,76.37138,225.0,700,23,24,103,55,2,102,149,35,981,7,16,5,144
39,28.672114,77.313832,205.0,271,17,67,138,55,13,125,149,37,983,18,31,5,242
40,22.06047,88.109737,14.0,430,11,19,102,28,8,102,84,33,1008,25,61,16,205
41,23.81748678,79.446246,380.0,630,10,42,55,18,3,55,63,27,965,19,65,2,166
42,31.0325454,76.5623046,275.0,498,0,58,68,40,3,68,112,35,975,3,13,8,295
43,23.6871984,86.9461361,130.0,956,15,13,143,86,3,188,167,33,992,13,30,7,195
44,23.10844,77.511428,443.0,430,8,22,72,33,8,72,95,30,958,16,43,9,181
45,22.410802,73.097923,32.0,0,4,23,109,48,0,106,132,37,1001,14,25,19,235
46,29.307814,76.337619,231.0,454,5,8,76,33,4,76,95,36,980,2,12,3,70
47,16.514871,80.5154505,24.0,594,2,27,52,24,4,52,76,35,1006,18,37,12,147
48,28.757294,77.278792,207.0,533,6,37,106,29,5,104,87,35,983,5,15,5,237
49,30.736056,76.209694,268.0,0,9,43,54,22,3,54,72,35,976,4,14,8,327
50,28.9535882,77.7622941,223.0,886,0,64,48,16,4,64,80,35,981,14,28,6,302
51,23.833778,80.391222,389.0,669,35,44,86,35,6,86,99,32,964,15,35,6,155
52,30.1480566,77.2893471,284.0,664,8,15,67,30,2,67,89,35,975,4,14,8,271
53,28.7757959,77.0462514,218.0,507,33,102,241,84,9,194,192,31,982,12,31,1,217
54,29.966942,76.875879,258.0,0,4,34,53,26,29,53,80,35,977,4,14,5,279
55,9.985653,76.281342,9.0,1542,26,7,81,35,2,81,99,32,1008,26,72,13,286
56,29.503664,75.467934,219.0,116,16,26,83,25,3,83,78,36,981,3,12,4,123
57,22.719444,75.870278,554.0,239,38,8,74,31,9,74,91,33,946,17,40,13,167
58,26.268249,73.0193853,233.0,937,12,59,32,18,1,59,64,38,978,13,23,7,159
59,28.406963,77.849831,203.0,576,7,43,86,21,6,86,70,36,983,7,16,6,237
60,27.5515817,76.6080554,278.0,262,3,14,59,59,5,99,153,36,975,9,19,0,180
61,29.4723508,77.7194031,250.0,402,9,57,129,50,3,119,137,35,978,4,14,9,273
62,17.72,83.3,29.0,262,0,24,72,30,3,72,89,31,1007,24,64,15,155
63,30.751462,76.762879,345.0,133,2,19,119,66,3,119,156,34,969,3,14,10,304
64,23.182719,75.768218,488.0,751,7,53,77,13,4,77,62,27,953,20,67,2,201
65,28.806223,76.141105,219.0,517,4,8,132,58,3,122,152,36,981,5,15,5,129
66,19.10861,72.83622,9.0,1028,3,2,69,13,4,69,58,29,1007,22,65,16,287
67,30.6510104,76.329252,268.0,166,11,17,60,34,2,60,97,35,976,3,14,7,327
68,26.470859,74.646594,481.0,432,7,49,63,36,4,63,102,36,953,8,17,6,168
69,30.379589,76.778328,274.0,696,1,21,59,27,4,59,82,35,975,11,24,4,293
70,28.060249,76.113115,305.0,0,5,24,66,40,8,66,112,37,972,17,31,0,180
71,24.58434363,80.8549414,330.0,629,12,4,65,65,0,117,156,34,970,12,26,0,180
72,25.1438895,75.8212555,290.0,961,10,21,65,46,4,77,127,36,974,10,20,4,125
73,28.8253591,78.7830383,201.0,433,20,13,120,39,7,113,110,35,983,4,13,7,278
74,30.455449,78.100618,2109.0,655,1,52,75,18,1,75,63,20,788,1,27,15,259
75,29.497973,76.993331,242.0,443,13,15,80,40,6,80,112,36,979,5,15,4,270
76,28.1485564,77.3300667,194.0,415,10,12,105,47,2,104,129,36,984,6,15,7,185
77,29.14056,75.744941,215.0,891,10,75,80,46,0,80,127,37,982,17,31,0,180
78,22.56263,88.36304,10.0,380,14,46,130,59,5,120,153,33,1007,20,48,2,227
79,30.9019147,75.8077749,247.0,0,0,0,0,0,0,0,0,35,978,12,25,6,340
80,28.5895657,77.0496539,213.0,720,49,49,186,125,2,304,187,31,982,12,30,8,123
81,18.526778,73.975028,550.0,1106,6,13,52,23,20,52,74,35,946,14,28,19,279
82,28.6821516,77.3026128,209.0,224,17,9,164,71,5,142,159,37,983,18,31,3,249
83,19.1494,72.9986,7.0,1447,54,23,118,45,7,112,124,31,1007,20,53,16,280
84,20.9360711,85.1707021,106.0,1249,8,7,97,51,58,97,139,30,996,18,47,3,241
85,18.642103,73.849083,608.0,445,38,44,92,17,3,92,69,34,941,14,30,19,278
86,28.422681,77.148944,254.0,388,35,21,182,83,1,177,165,36,978,4,13,1,95
87,21.613267,73.010555,24.0,882,14,19,69,36,3,69,102,36,1004,12,23,18,240
88,11.55358,76.55521,889.0,485,12,19,65,31,2,65,91,27,911,19,62,6,187
89,18.9936162,72.8128113,9.0,467,6,5,46,10,3,46,42,30,1008,21,59,19,286
90,22.969611,72.6435,48.0,672,15,22,71,27,4,71,82,36,1000,12,24,11,198
91,17.6599188,75.9063906,473.0,463,23,47,141,44,37,127,122,33,954,27,71,4,156
92,26.210536,78.171,214.0,720,2,25,0,22,0,36,72,34,982,19,41,0,180
93,24.762518,84.982348,126.0,299,8,12,38,22,2,38,72,34,992,13,29,8,291
94,24.10897,82.64558,301.0,1153,7,32,74,29,11,74,87,34,974,11,24,9,213
95,20.362421,72.918013,23.0,0,3,1,58,18,16,58,63,31,1005,21,54,14,262
96,23.233584,77.400574,539.0,210,4,49,102,30,6,101,89,31,948,15,37,14,175
97,12.733409,77.298051,707.0,218,1,15,26,25,8,42,78,33,930,12,28,16,118
98,11.249077,75.784371,12.0,498,23,18,110,52,1,106,142,34,1006,26,61,4,292
99,16.802639,75.722694,625.0,2860,4,8,21,9,0,21,38,25,938,20,73,19,137
100,22.49929,88.36917,8.0,365,2,6,80,54,6,90,147,33,1007,20,48,2,235
101,11.875,75.3732,20.0,1305,25,19,134,42,1,123,117,33,1006,25,61,7,282
102,30.349388,76.366642,253.0,332,11,37,66,26,2,66,80,36,977,15,29,0,360
103,16.172806,75.659694,545.0,832,4,15,50,24,3,50,76,34,946,16,33,10,191
104,11.258244,77.552429,307.0,658,17,3,120,48,11,113,132,33,973,19,45,17,104
105,28.733016,77.17197,211.0,665,41,37,159,55,8,139,149,31,983,12,31,3,240
106,20.0073285,73.7762427,582.0,1196,5,30,132,58,1,121,152,36,942,6,16,4,259
107,18.459869,73.852306,660.0,1306,9,2,95,45,11,95,124,36,935,14,27,6,278
108,17.540891,78.358528,589.0,201,7,18,54,22,6,54,72,33,943,18,42,10,136
109,17.320057,76.820889,462.0,747,16,27,31,17,4,31,61,36,956,18,33,4,160
110,29.06351,77.709723,231.0,506,9,49,62,20,5,62,68,35,980,14,28,4,296
111,13.672986,79.351217,919.0,734,10,26,58,31,5,58,91,29,909,18,49,17,106
112,25.592539,85.227158,59.0,631,9,8,242,59,3,195,153,34,1000,20,45,7,274
113,25.586562,85.043586,58.0,738,4,18,120,71,2,136,159,34,999,20,45,8,277
114,22.55664,88.342674,14.0,348,9,53,115,52,6,110,142,33,1007,20,48,2,235
115,28.3419248,77.319699,203.0,297,6,11,106,68,0,126,157,36,983,7,16,0,232
116,28.820629,77.101099,213.0,629,7,81,175,50,7,150,137,35,982,4,15,4,240
117,8.5140567,76.9477422,22.0,384,4,6,30,14,3,30,55,27,1006,26,93,0,180
118,28.557054,77.453663,216.0,256,17,68,134,43,7,123,119,35,982,7,17,5,229
119,8.5637,76.8865,45.0,506,4,15,84,48,1,84,132,27,1004,26,93,5,235
120,28.56923,77.393848,199.0,1223,9,72,115,37,9,110,105,37,984,18,31,5,244
121,28.572714,76.933433,212.0,647,7,103,124,39,4,116,195,31,982,12,31,2,100
122,19.041847,72.865513,11.0,137,34,15,138,26,9,125,92,31,1007,20,53,26,287
123,13.029152,77.585901,918.0,227,41,8,55,22,2,55,72,33,908,14,32,4,106
124,19.047,72.8746,6.0,120,4,14,84,16,10,84,65,31,1007,20,53,26,287
125,28.6701,76.9254,215.0,893,16,23,102,17,2,101,74,31,982,12,31,2,109
126,28.593883,76.270653,213.0,498,10,8,102,61,5,105,154,36,981,5,15,5,139
127,18.661667,73.762331,620.0,695,31,42,90,36,1,90,102,36,939,14,27,20,278
128,28.47272,77.482,193.0,492,25,52,153,57,6,135,152,36,984,7,17,4,231
129,22.9682591,76.064118,557.0,277,5,32,45,22,8,45,72,30,945,17,44,10,170
130,28.620171,77.287705,206.0,817,38,83,198,55,3,165,149,37,983,18,31,0,180
131,19.1375,72.915056,60.0,629,11,29,124,17,14,116,85,31,1002,20,53,26,287
132,26.85272778,80.99632778,120.0,720,30,19,158,88,6,195,168,33,993,13,29,7,249
133,28.5898,77.3101,206.0,437,23,93,128,35,6,119,169,37,984,18,31,3,253
134,28.710066,77.24622,207.0,8,7,70,129,46,5,120,127,37,983,18,31,5,239
135,28.4275,77.1465,257.0,384,17,21,166,73,1,144,160,36,978,4,13,1,95
136,28.815691,77.152491,213.0,786,6,81,114,40,6,109,136,35,982,4,15,4,240
137,12.91281111,77.60921944,912.0,438,20,10,54,31,2,54,91,32,909,16,39,17,102
138,18.91,72.82,10.0,212,8,6,60,17,3,60,61,30,1007,21,59,4,288
139,28.661975,77.124156,216.0,939,59,30,147,75,11,150,161,31,982,12,30,7,199
140,28.4417,77.3217,202.0,1039,13,5,164,57,4,142,152,37,983,18,31,4,215
141,22.9987886,72.6029661,52.0,529,32,38,131,63,11,121,155,36,999,12,24,19,197
142,18.577864,73.908086,583.0,1009,6,15,52,22,15,52,72,34,942,13,28,17,276
143,19.1135051,73.008978,7.0,2161,36,32,108,40,7,105,112,31,1007,20,53,16,280
144,22.572646,88.363895,16.0,360,16,43,140,74,5,146,161,33,1007,20,48,2,227
145,26.86812,81.005119,118.0,742,5,20,130,81,7,170,164,33,993,13,29,7,249
146,28.528344,77.189304,241.0,283,44,35,138,46,8,125,127,37,979,18,31,8,201
147,13.08784,80.27847,13.0,452,35,5,63,18,1,63,63,32,1008,26,69,6,90
148,28.6542593,77.3549349,206.0,541,43,31,123,45,3,115,124,37,983,18,31,5,242
149,28.5447608,77.3231257,197.0,533,28,73,85,26,3,85,108,37,984,18,31,4,216
150,19.2243333,72.8658113,26.0,437,3,7,78,11,2,78,62,31,1006,20,53,16,284
151,19.0863,72.8888,18.0,96,7,15,133,33,10,122,95,31,1006,20,53,26,287
152,22.51106,88.35142,11.0,385,10,16,79,35,9,79,99,33,1007,20,48,2,235
153,12.9773472,77.570697222222,906.0,232,43,10,90,46,1,90,127,33,909,14,32,17,106
154,28.499727,77.267095,260.0,562,20,84,125,41,8,117,147,37,977,18,31,2,201
155,29.6953,77.0027,251.0,541,5,18,82,47,4,82,129,35,978,5,16,5,248
156,28.732743,77.118788,211.0,402,7,90,117,31,5,111,161,31,982,12,31,3,231
157,28.700505,77.165603,217.0,0,15,62,128,45,5,119,124,31,982,12,31,3,231
158,13.0339,77.51321111,914.0,482,39,26,71,34,2,71,97,33,908,14,32,7,108
159,19.3832,72.8204,5.0,1257,11,23,52,11,5,52,47,29,1008,21,65,17,281
160,10.073232,76.302765,12.0,1546,2,7,29,14,2,29,55,33,1006,27,70,7,280
161,12.938539,77.5901,919.0,0,6,1,31,12,1,31,50,33,908,14,32,15,106
162,26.9164092,75.8016788,436.0,468,42,48,78,57,9,96,152,35,959,9,21,9,177
163,12.93890556,77.69727222,882.0,424,40,21,73,36,2,73,102,34,912,18,39,15,102
164,28.582846,77.234366,213.0,637,28,84,85,24,5,85,147,37,982,18,31,0,180
165,28.69572,77.181295,222.0,288,9,16,244,41,10,196,145,37,982,18,31,3,240
166,29.0002662,76.9997466,223.0,342,42,27,164,48,9,143,132,35,981,3,13,2,227
167,28.974801,77.213357,218.0,862,8,50,91,26,8,91,80,35,982,3,13,3,315
168,28.39072,77.30059,205.0,227,1,20,156,102,4,238,175,36,984,7,16,2,288
169,28.630362,77.197293,231.0,326,60,20,122,69,2,131,158,37,980,18,31,0,180
170,28.207037,76.861333,270.0,296,6,15,112,50,4,108,137,36,976,5,15,5,154
171,28.576909,77.075898,214.0,1042,48,52,189,61,3,159,154,36,982,5,14,8,190
172,26.9405166,75.8007016,464.0,554,40,42,105,59,7,104,153,35,956,9,21,6,175
173,28.68241,77.030469,218.0,628,41,80,174,74,6,150,161,31,982,12,30,1,143
174,28.999264,77.7590354,225.0,437,13,71,67,17,1,71,101,35,981,14,28,6,302
175,28.646233,77.358075,209.0,463,27,18,133,34,5,122,97,37,983,18,31,5,244
176,18.497484,73.81349,573.0,1305,37,0,101,52,8,101,142,36,943,14,27,6,278
177,12.920984,77.584908,916.0,0,3,14,108,37,3,105,105,33,908,14,32,15,102
178,28.725645,77.749675,214.0,550,5,49,58,19,8,58,66,36,982,4,13,4,294
179,18.673708,73.891506,571.0,493,37,42,102,21,3,101,74,34,944,14,29,17,273
180,19.25292,73.142019,19.0,297,13,7,93,53,8,93,144,33,1006,18,39,16,273
181,28.4227,77.0667,234.0,838,12,29,156,109,1,264,179,36,980,4,13,1,95
182,28.360699,76.93609,244.0,175,12,49,104,63,4,109,155,36,978,7,16,2,118
183,28.566008,77.176743,233.0,509,38,95,177,57,8,151,174,37,980,18,31,7,226
184,28.685382,77.453839,217.0,17,13,50,80,22,5,80,72,36,982,5,15,5,242
185,17.349694,78.451437,514.0,987,14,10,172,75,2,150,161,33,951,17,37,7,129
186,19.07283,72.88261,7.0,225,6,15,125,17,7,117,85,30,1007,21,58,22,287
187,12.917348,77.622813,885.0,376,47,12,37,17,0,37,61,32,911,16,38,15,102
188,17.38405,78.45636,512.0,572,33,15,157,23,2,138,101,33,951,20,47,13,129
189,28.636997,77.172248,235.0,1252,11,33,256,256,7,405,306,37,980,18,31,7,226
